step,klcoef,lr,rollout_time,horizon,speed,speed_rl,speed_rl_std,speed_human,inflow,outflow,inflow_hourly,outflow_hourly,collisions,fuel,backlog_step,n_total_veh_step,flow_horizontal,flow_vertical,raw_reward_mean,raw_reward_sum,reward_mean,reward_sum,n_veh_step_mean,n_veh_step_sum,n_veh_unique,policy_loss,kl,entropy,gd_time,total_time
0,0,0.001,12.2606,2000,5.48561,5.28203,4.30252,5.70545,754.898,746.824,2717.63,2688.57,0.480469,2172.45,47.9244,76.6558,765.625,765.625,0.372211,744.422,0.000189713,0.379425,14.8797,29759.5,387.789,-0.12814,1.74469e-12,0.229888,2.67682,418.28
1,0,0.001,16.2866,2000,2.58757,2.54028,3.32904,2.63678,547.273,520.055,1970.18,1872.2,1.64062,1451.16,135.129,178.951,765.625,765.625,0.255926,511.852,-0.0160727,-32.1453,22.2731,44546.2,284.223,1.62446,-2.24277e-11,0.237082,3.09622,919.068
2,0,0.001,15.9689,2000,2.3507,2.31858,3.23129,2.38377,525.504,497.832,1891.81,1792.2,1.07031,1395.77,148.075,193.294,765.625,765.625,0.24624,492.48,-0.0108216,-21.6432,22.8812,45762.4,273.383,1.0778,2.0389e-11,0.155138,3.15911,1405.17
3,0,0.001,14.3714,2000,3.65308,3.56706,3.81724,3.74363,657.328,636.711,2366.38,2292.16,0.929688,1681.14,88.5021,126.963,765.625,765.625,0.316031,632.062,0.00413061,8.26122,19.6185,39236.9,339.277,-0.341282,-1.51814e-11,0.197103,2.84754,1898.45
4,0,0.001,12.0498,2000,5.67644,5.47675,4.2395,5.89122,773.16,764.652,2783.38,2752.75,0.65625,2158.7,38.9564,67.4723,765.625,765.625,0.380686,761.371,0.0120079,24.0158,14.74,29480,397.16,-1.22451,3.6768e-13,0.168464,2.62927,2348.29
5,0,0.001,12.8485,2000,5.34234,5.17876,4.15975,5.51656,778.047,767.715,2800.97,2763.77,0.683594,2153.75,36.3588,66.9991,765.625,765.625,0.382148,764.297,0.00919094,18.3819,15.7664,31532.7,399.668,-0.948604,-1.02867e-11,0.171197,2.63376,2820.18
6,0,0.001,11.5104,2000,5.69542,5.49816,4.17786,5.90733,784.848,776.344,2825.45,2794.84,0.628906,2216.35,33.2537,62.1422,765.625,765.625,0.3866,773.199,0.00837978,16.7596,14.9263,29852.7,402.969,-0.872636,6.07117e-12,0.176883,2.50679,3258.97
7,0,0.001,11.7046,2000,5.41698,5.24165,4.15348,5.60437,787.395,777.797,2834.62,2800.07,0.5,2147.81,32.2196,62.5944,765.625,765.625,0.387648,775.297,0.00756031,15.1206,15.6615,31323.1,404.531,-0.796688,-5.69385e-12,0.180962,3.0298,3701.51
8,0,0.001,12.1404,2000,5.16353,5.00571,4.15229,5.33152,781.762,770.848,2814.34,2775.05,0.351562,2080.36,34.5663,66.0642,765.625,765.625,0.384545,769.09,0.00645012,12.9002,16.2128,32425.6,401.652,-0.683579,-1.69312e-11,0.175278,2.79568,4162.22
9,0,0.001,12.0107,2000,5.57064,5.37966,4.18996,5.77554,785.113,776.184,2826.41,2794.26,0.460938,2186.42,33.1267,62.5502,765.625,765.625,0.386939,773.879,0.00636158,12.7232,15.2008,30401.5,403.023,-0.676604,5.19577e-12,0.170591,2.77906,4646.22
10,0,0.001,12.2764,2000,5.79546,5.59028,4.1974,6.01624,784.316,776.828,2823.54,2796.58,0.621094,2223.49,33.9365,62.3159,765.625,765.625,0.386861,773.723,0.005949,11.898,14.6737,29347.4,402.945,-0.636828,1.14996e-11,0.164757,2.61569,5123.3
11,0,0.001,12.6124,2000,5.87592,5.66749,4.18838,6.10025,787.82,780.332,2836.15,2809.2,0.664062,2256.29,32.0656,60.2246,765.625,765.625,0.388506,777.012,0.00586203,11.7241,14.559,29117.9,404.625,-0.639377,-7.89068e-12,0.165552,2.62916,5604.94
12,0,0.001,12.3767,2000,5.94255,5.7259,4.19661,6.17621,785.266,778.559,2826.96,2802.81,0.535156,2291.03,33.7164,61.4468,765.625,765.625,0.387941,775.883,0.00548237,10.9647,14.3526,28705.3,403.121,-0.597015,-1.35017e-12,0.16326,2.49867,6090
