step,klcoef,lr,rollout_time,horizon,speed,speed_rl,speed_rl_std,speed_human,inflow,outflow,inflow_hourly,outflow_hourly,collisions,fuel,backlog_step,n_total_veh_step,flow_horizontal,flow_vertical,raw_reward_mean,raw_reward_sum,reward_mean,reward_sum,n_veh_step_mean,n_veh_step_sum,n_veh_unique,policy_loss,kl,entropy,gd_time,total_time,collisions_human
0,0,0.001,8.16266,2000,5.19223,4.92253,3.27733,5.34064,606.356,580.755,2182.88,2090.72,13.0312,2254.36,17.7506,38.0238,778.75,782.5,0.257799,515.598,-7.87535e-05,-0.157507,7.06604,14132.1,205.194,-0.129364,-2.45783e-12,0.166277,3.99682,523.536,
1,0,0.001,7.60993,2000,5.75917,5.38147,3.58387,5.97016,620.061,597.78,2232.22,2152.01,13.7156,2481.11,13.3112,30.5153,778.75,782.5,0.264601,529.202,0.00121209,2.42418,6.13084,12261.7,209.633,-0.298285,2.98168e-12,0.166347,3.66568,1236.11,
2,0,0.001,7.39201,2000,6.06125,5.63843,3.62522,6.29934,629.459,607.37,2266.05,2186.53,14.7406,2550.26,9.33416,25.4007,778.75,782.5,0.266834,533.667,0.00112231,2.24461,5.75001,11500,212.848,-0.275337,1.02115e-12,0.155514,3.6123,1980.98,
3,0,0.001,7.44507,2000,5.95774,5.49399,3.61199,6.22255,627.73,606.566,2259.83,2183.64,13.6687,2552.25,10.1801,26.2863,778.75,782.5,0.269111,538.222,0.00111034,2.22069,5.80926,11618.5,212.206,-0.24339,-1.35565e-12,0.167957,4.34654,2786.63,
4,0,0.001,7.4929,2000,5.94615,5.53042,3.55718,6.18053,627.694,605.717,2259.7,2180.58,14.2781,2556.35,9.87699,26.3837,778.75,782.5,0.267163,534.327,0.000565442,1.13088,5.89455,11789.1,212.219,-0.188373,-1.03594e-11,0.1463,3.54271,3602.5,
5,0,0.001,7.45418,2000,5.95308,5.50239,3.5974,6.20952,628.702,607.684,2263.33,2187.66,13.4656,2557.1,9.70906,25.9271,778.75,782.5,0.270178,540.356,0.000966762,1.93352,5.83767,11675.4,212.456,-0.231243,1.43195e-11,0.15096,4.66294,4475.61,
6,0,0.001,7.43326,2000,6.03474,5.57467,3.62547,6.29648,628.123,607.375,2261.24,2186.55,13.8875,2614.41,10.1116,26.0195,778.75,782.5,0.268969,537.938,0.000674113,1.34823,5.73272,11465.4,212.333,-0.199954,6.75248e-12,0.142107,3.71705,5307.13,
7,0,0.001,7.4779,2000,5.95593,5.52789,3.57466,6.19773,630.031,608.866,2268.11,2191.92,13.5188,2573.64,9.04419,25.4373,778.75,782.5,0.270636,541.272,0.000894874,1.78975,5.87432,11748.6,212.953,-0.234095,1.80743e-11,0.140479,3.66807,6135.67,
8,0,0.001,7.48229,2000,5.91001,5.47708,3.59342,6.15508,627.259,606.892,2258.13,2184.81,12.9219,2592.61,10.3346,26.7764,778.75,782.5,0.271141,542.283,0.000827623,1.65525,5.90487,11809.7,212.119,-0.204424,7.31346e-12,0.139975,6.16461,6989.19,
9,0,0.001,7.53563,2000,5.90322,5.50238,3.57949,6.12814,630.034,608.519,2268.12,2190.67,13.5062,2526.98,8.96189,25.6416,778.75,782.5,0.270494,540.987,0.00068629,1.37258,5.95489,11909.8,213.009,-0.21606,-1.52121e-11,0.12905,3.80403,7844.25,
10,0,0.001,7.47201,2000,5.91562,5.48368,3.61544,6.16013,630.477,610.173,2269.72,2196.62,12.7969,2568.45,8.9064,25.2684,778.75,782.5,0.273095,546.189,0.0010304,2.06081,5.87417,11748.3,213.167,-0.238678,-5.1751e-12,0.127109,4.9024,8696.15,
11,0,0.001,7.54594,2000,5.90021,5.48665,3.56554,6.13321,630.036,609.033,2268.13,2192.52,13.3125,2566.63,8.93739,25.5866,778.75,782.5,0.271235,542.47,0.000629668,1.25934,5.94918,11898.4,213.023,-0.192539,7.14424e-12,0.126799,3.81704,9558.33,
12,0,0.001,7.51033,2000,5.87556,5.4314,3.61473,6.12812,630.434,610.6,2269.56,2198.16,12.3688,2562.12,8.98919,25.388,778.75,782.5,0.274378,548.756,0.00116853,2.33706,5.89982,11799.6,213.125,-0.241687,-1.57596e-11,0.127556,9.65515,10431.3,
