step,klcoef,lr,rollout_time,horizon,speed,speed_rl,speed_rl_std,speed_human,inflow,outflow,inflow_hourly,outflow_hourly,collisions,fuel,backlog_step,n_total_veh_step,flow_horizontal,flow_vertical,raw_reward_mean,raw_reward_sum,reward_mean,reward_sum,n_veh_step_mean,n_veh_step_sum,n_veh_unique,policy_loss,kl,entropy,gd_time,total_time
0,0,0.001,8.71169,2000,5.55917,5.27279,3.53635,5.88118,626.289,616,2254.64,2217.6,2.27188,2497.99,10.9462,28.1573,778.75,782.5,0.30232,604.641,0.000163956,0.327911,9.01071,18021.4,317.836,-0.169215,4.94329e-12,0.167166,4.36481,687.373
1,0,0.001,8.50088,2000,5.08821,4.81631,3.77527,5.3936,583.002,574.027,2098.81,2066.5,0.975,2326.12,32.3486,49.2385,778.75,782.5,0.284576,569.152,-0.00400974,-8.01948,8.8902,17780.4,296.102,0.267746,9.71084e-12,0.161051,4.0517,1604.79
2,0,0.001,8.49779,2000,5.49745,5.20695,3.50325,5.82504,622.409,612.639,2240.67,2205.5,1.86563,2480.22,12.828,29.9283,778.75,782.5,0.301655,603.311,0.00210655,4.2131,8.96988,17939.8,315.952,-0.362188,8.90358e-12,0.18876,4.14284,2555
3,0,0.001,8.444,2000,5.57025,5.27711,3.51619,5.90056,625.591,615.634,2252.13,2216.28,1.8,2461.8,11.3686,28.37,778.75,782.5,0.303317,606.634,0.00196548,3.93097,8.91398,17828,317.438,-0.348519,-1.51411e-11,0.173677,4.10594,3523.84
4,0,0.001,8.35014,2000,5.70815,5.41211,3.57755,6.04096,628.225,617.708,2261.61,2223.75,2.67188,2495.78,10.1989,26.9053,778.75,782.5,0.302174,604.348,0.00117132,2.34265,8.75942,17518.8,318.82,-0.308412,-2.39025e-11,0.16259,6.47499,4489.38
5,0,0.001,8.56012,2000,5.60117,5.32254,3.44287,5.91375,621.142,608.209,2236.11,2189.55,3.93125,2449.87,12.3322,29.7397,778.75,782.5,0.294277,588.553,-0.0012723,-2.54461,9.08145,18162.9,315.233,-0.00647527,-5.72921e-12,0.150714,4.70497,5490.6
6,0,0.001,8.36977,2000,5.6437,5.34966,3.6405,5.97467,626.298,616.248,2254.67,2218.49,2.24063,2506.95,11.1051,27.8472,778.75,782.5,0.302523,605.045,0.00140464,2.80928,8.77773,17555.5,317.825,-0.303613,-5.41674e-12,0.144979,4.18552,6472.85
7,0,0.001,8.38586,2000,5.68919,5.39163,3.49729,6.02432,628.078,617.673,2261.08,2223.62,2.39688,2511.99,10.0014,26.8794,778.75,782.5,0.302845,605.689,0.00130828,2.61657,8.8437,17687.4,318.756,-0.279819,-3.35938e-12,0.165474,4.22053,7466.65
8,0,0.001,8.32839,2000,5.7402,5.44071,3.60591,6.07712,629.038,618.772,2264.54,2227.58,2.55,2497.86,9.8877,26.4562,778.75,782.5,0.303011,606.022,0.00119335,2.38671,8.68852,17377,319.173,-0.294701,9.68873e-12,0.156018,7.02259,8466.07
9,0,0.001,8.35844,2000,5.77222,5.47546,3.51291,6.10583,629.416,618.38,2265.9,2226.17,3.14375,2512.73,9.3192,26.0918,778.75,782.5,0.30133,602.661,0.00054333,1.08666,8.78164,17563.3,319.431,-0.230794,-3.83029e-12,0.154083,4.74871,9475.68
10,0,0.001,8.31311,2000,5.79875,5.50018,3.56285,6.13423,630.277,619.548,2269,2230.37,3.05313,2526.05,9.23676,25.8668,778.75,782.5,0.302141,604.283,0.000741813,1.48363,8.70876,17417.5,319.842,-0.250909,3.26277e-12,0.144518,4.3045,10499.3
11,0,0.001,8.27995,2000,5.79289,5.48961,3.59493,6.13434,629.814,619.809,2267.33,2231.31,2.49375,2560.78,9.49211,25.9534,778.75,782.5,0.30367,607.341,0.00113876,2.27752,8.63302,17266,319.55,-0.273544,-2.42998e-11,0.145033,4.30179,11515.5
12,0,0.001,8.40896,2000,5.68927,5.41128,3.46705,6.00029,623.419,610.63,2244.31,2198.27,4.20937,2472.18,11.4402,28.6557,778.75,782.5,0.294791,589.583,-0.00170143,-3.40285,8.98369,17967.4,316.391,0.0207194,5.18226e-12,0.150363,5.79365,12552.5
13,0,0.001,8.31005,2000,5.82065,5.5205,3.57197,6.15778,631.659,621.03,2273.97,2235.71,3.15313,2541.28,8.62478,25.1703,778.75,782.5,0.302632,605.264,0.000967964,1.93593,8.67044,17340.9,320.55,-0.280208,-8.14651e-12,0.145482,6.27187,13593.4
14,0,0.001,8.38104,2000,5.74967,5.45491,3.50357,6.08113,628.805,617.789,2263.7,2224.04,3.05,2521.1,9.45281,26.3375,778.75,782.5,0.30127,602.539,0.000420583,0.841166,8.83518,17670.4,319.155,-0.190354,2.69374e-11,0.146367,4.41226,14645.6
15,0,0.001,8.33749,2000,5.73676,5.43334,3.54522,6.07889,630.233,620.347,2268.84,2233.25,2.24688,2531.3,9.19902,25.8876,778.75,782.5,0.304556,609.112,0.0013693,2.73861,8.75289,17505.8,319.828,-0.287776,1.43354e-11,0.142959,4.40461,15689.5
16,0,0.001,8.34544,2000,5.75472,5.45759,3.52126,6.08903,629.942,619.292,2267.79,2229.45,2.84063,2549.42,8.8706,25.7427,778.75,782.5,0.302545,605.089,0.000747077,1.49415,8.83157,17663.1,319.627,-0.223011,-1.71195e-12,0.135567,5.39583,16743.6
17,0,0.001,8.39574,2000,5.66478,5.36396,3.5386,6.0043,629.819,620.153,2267.35,2232.55,1.825,2516.84,9.2805,26.1657,778.75,782.5,0.305514,611.028,0.00156618,3.13236,8.85758,17715.2,319.553,-0.288215,-6.64164e-12,0.137568,4.69286,17811.5
18,0,0.001,8.35803,2000,5.73837,5.43599,3.5095,6.07936,630.147,620.058,2268.53,2232.21,2.23438,2527.17,8.99494,25.7851,778.75,782.5,0.304443,608.886,0.00115669,2.31338,8.80182,17603.6,319.714,-0.256332,-4.55344e-12,0.135779,5.79817,18885.7
19,0,0.001,8.42567,2000,5.67245,5.38113,3.45982,6.00024,626.255,614.75,2254.52,2213.1,2.9,2482.4,10.2774,27.4554,778.75,782.5,0.300125,600.25,-0.000163251,-0.326502,8.9837,17967.4,317.738,-0.0955579,-6.53885e-12,0.13667,4.50284,19974.9
