step,klcoef,lr,rollout_time,horizon,speed,speed_rl,speed_rl_std,speed_human,inflow,outflow,inflow_hourly,outflow_hourly,collisions,fuel,backlog_step,n_total_veh_step,flow_horizontal,flow_vertical,raw_reward_mean,raw_reward_sum,reward_mean,reward_sum,n_veh_step_mean,n_veh_step_sum,n_veh_unique,policy_loss,kl,entropy,gd_time,total_time
0,0,0.001,12.4541,2000,4.71193,4.71193,3.86199,,618.506,607.388,2226.62,2186.6,0.45,2078.55,15.7185,35.0717,778.75,782.5,0.302569,605.138,0.000883879,1.76776,19.3478,38695.6,627.472,-0.248005,3.3885e-12,0.075837,3.4017,308.308
1,0,0.001,14.2476,2000,2.52879,2.52879,3.85665,,423.019,406.619,1522.87,1463.83,0.08125,1560.35,98.6365,122.518,778.75,782.5,0.203106,406.212,-0.0126858,-25.3717,23.8731,47746.3,432.059,1.47208,3.18133e-11,0.167868,3.5691,682.127
2,0,0.001,15.9953,2000,0.961361,0.961361,2.77788,,223.394,202.897,804.217,730.429,0.075,1189.32,194.546,221.998,778.75,782.5,0.101261,202.522,-0.0171105,-34.221,27.4417,54883.3,232.15,1.84568,3.97573e-10,0.204492,3.88805,1073.59
3,0,0.001,15.6905,2000,0.905593,0.905593,2.75673,,214.794,195.662,773.257,704.385,0.1,1189.75,200.976,227.626,778.75,782.5,0.0975812,195.162,-0.0123414,-24.6828,26.6405,53280.9,223.725,1.35294,-2.77975e-10,0.185334,3.66937,1457.72
4,0,0.001,14.5835,2000,1.02346,1.02346,2.91293,,219.359,202.881,789.694,730.373,0.1,1155.17,199.51,223.758,778.75,782.5,0.101191,202.381,-0.00971215,-19.4243,24.2404,48480.7,228.294,1.10695,2.69745e-10,0.188902,3.38891,1845.17
5,0,0.001,15.0576,2000,0.932021,0.932021,2.74297,,206.425,188.594,743.13,678.938,0.05,1149.9,205.34,230.843,778.75,782.5,0.0941719,188.344,-0.00929113,-18.5823,25.4944,50988.7,215.306,1.09886,1.00253e-10,0.17884,3.46962,2241.04
6,0,0.001,14.1641,2000,1.0688,1.0688,2.96898,,218.85,203.084,787.86,731.104,0.075,1156.46,199.813,223.29,778.75,782.5,0.101355,202.709,-0.00706466,-14.1293,23.4685,46936.9,227.803,0.876352,-4.21622e-10,0.174181,3.39105,2633.85
7,0,0.001,13.9205,2000,1.08253,1.08253,2.97962,,215.081,200,774.293,720,0.0875,1148.09,201.948,224.843,778.75,782.5,0.0997813,199.562,-0.00651031,-13.0206,22.8875,45774.9,224.034,0.833486,-1.87062e-10,0.183304,3.41487,3025.47
8,0,0.001,15.368,2000,1.01747,1.01747,2.82607,,221.544,202.578,797.558,729.281,0.1375,1122.23,195.068,221.206,778.75,782.5,0.100945,201.891,-0.00565592,-11.3118,26.1287,52257.5,230.591,0.811583,4.49897e-10,0.204109,3.63147,3435.43
9,0,0.001,15.6819,2000,0.984279,0.984279,2.80966,,223.3,203.397,803.88,732.229,0.08125,1164.51,194.634,221.537,778.75,782.5,0.101495,202.991,-0.00494702,-9.89405,26.8929,53785.7,232.131,0.728448,-1.92924e-10,0.187811,3.64288,3856.96
10,0,0.001,15.7121,2000,0.977807,0.977807,2.85893,,228.531,209.175,822.712,753.03,0.06875,1133.72,191.86,218.607,778.75,782.5,0.104416,208.831,-0.00413261,-8.26522,26.7381,53476.2,237.562,0.633118,-2.03775e-11,0.183444,4.57377,4271.52
11,0,0.001,15.9114,2000,1.09614,1.09614,2.86337,,239.45,218.697,862.02,787.309,0.14375,1195.87,184.609,212.171,778.75,782.5,0.108989,217.978,-0.00325449,-6.50898,27.5524,55104.9,248.387,0.599051,1.2736e-11,0.162996,4.2366,4691.25
12,0,0.001,15.8128,2000,1.28117,1.28117,2.89501,,251.466,230.741,905.276,830.666,0.15625,1260.51,179.427,207.005,778.75,782.5,0.11498,229.959,-0.0024096,-4.8192,27.5674,55134.8,260.503,0.553738,-6.49806e-11,0.151295,4.22321,5108.11
13,0,0.001,15.2562,2000,1.78815,1.78815,3.20623,,313.387,293.337,1128.2,1056.01,0.24375,1389.74,144.355,170.791,778.75,782.5,0.146059,292.119,0.00277461,5.54921,26.4262,52852.4,322.337,0.105637,-1.03915e-10,0.138595,3.71847,5528.01
14,0,0.001,12.3462,2000,4.45271,4.45271,3.96827,,592.416,580.884,2132.7,2091.18,0.43125,2038.33,27.0727,46.8524,778.75,782.5,0.289364,578.728,0.0217698,43.5396,19.7742,39548.3,601.406,-2.15847,4.52557e-12,0.0641714,3.20764,5921.06
15,0,0.001,16.3631,2000,2.60655,2.60655,2.5564,,467.809,442.381,1684.11,1592.57,1.3875,1398.12,80.3455,110.08,778.75,782.5,0.217722,435.444,0.00958653,19.1731,29.7228,59445.6,476.844,-0.832615,-6.11441e-12,0.040238,4.53471,6362.99
