step,klcoef,lr,rollout_time,horizon,speed,speed_rl,speed_rl_std,speed_human,inflow,outflow,inflow_hourly,outflow_hourly,collisions,fuel,backlog_step,n_total_veh_step,flow_horizontal,flow_vertical,raw_reward_mean,raw_reward_sum,reward_mean,reward_sum,n_veh_step_mean,n_veh_step_sum,n_veh_unique,policy_loss,kl,entropy,gd_time,total_time
0,0,0.001,13.4855,2000,0.77394,0.758891,0.816122,0.789712,224.711,189.539,808.959,682.341,1.58594,1076.38,199.28,237.764,765.625,765.625,0.0908047,181.609,0.000178853,0.357705,19.6726,39345.2,116.816,-0.164272,-5.22881e-13,1.09861,2.65248,346.224
1,0,0.001,13.1809,2000,0.921204,0.903523,0.904038,0.939721,260.105,226.68,936.38,816.047,1.05469,1136.43,181.108,218.931,765.625,765.625,0.110703,221.406,0.00605684,12.1137,19.3317,38663.4,134.621,-0.715969,2.82014e-11,1.09414,2.50381,702.381
2,0,0.001,12.708,2000,1.26145,1.24006,1.14763,1.28372,333.477,302.582,1200.52,1089.3,0.4375,1230.23,143.678,179.826,765.625,765.625,0.150197,300.395,0.015756,31.5121,18.4236,36847.2,171.105,-1.58428,3.59483e-12,1.06235,2.44311,1063.84
3,0,0.001,11.6896,2000,1.72147,1.68822,1.51615,1.75643,397.617,371.488,1431.42,1337.36,0.234375,1356.5,111.159,143.782,765.625,765.625,0.185158,370.316,0.0204099,40.8198,16.6173,33234.6,203.242,-1.98665,3.41371e-12,0.99144,2.32125,1433.78
4,0,0.001,10.9911,2000,2.17535,2.12874,1.91383,2.22484,448.879,424.742,1615.96,1529.07,0.625,1442.95,85.2975,115.301,765.625,765.625,0.210809,421.617,0.0217868,43.5736,15.2762,30552.3,228.812,-2.0892,-2.2237e-11,0.892191,2.14444,1795.62
5,0,0.001,10.5991,2000,2.48317,2.43138,2.18649,2.5382,476.945,453.262,1717,1631.74,1.58594,1476.19,71.5909,100.231,765.625,765.625,0.222666,445.332,0.0204774,40.9549,14.5517,29103.3,242.996,-1.96569,6.33945e-12,0.75623,2.11402,2157.21
6,0,0.001,10.3045,2000,2.6761,2.61567,2.32788,2.74053,489.566,466.383,1762.44,1678.98,1.92969,1508.28,65.8099,93.4257,765.625,765.625,0.228367,456.734,0.0189904,37.9808,14.0423,28084.5,249.316,-1.83444,3.61892e-11,0.712811,2.06386,2517.74
7,0,0.001,10.136,2000,2.79886,2.7369,2.41615,2.86516,495.836,472.422,1785.01,1700.72,2.71094,1519.16,63.1615,90.2963,765.625,765.625,0.229434,458.867,0.0170996,34.1992,13.7734,27546.8,252.523,-1.66774,-1.73096e-11,0.627827,2.20732,2882.47
8,0,0.001,10.0057,2000,2.83917,2.77397,2.44023,2.90906,496.625,473.637,1787.85,1705.09,2.40625,1522.43,62.5531,89.3857,765.625,765.625,0.230803,461.605,0.015881,31.762,13.6264,27252.9,252.875,-1.53201,2.31924e-11,0.630082,2.10244,3250.08
9,0,0.001,9.79165,2000,2.92886,2.85995,2.49674,3.00315,499.945,476.953,1799.8,1717.03,2.94531,1558.93,60.8964,87.4547,765.625,765.625,0.231113,462.227,0.0146072,29.2144,13.4798,26959.6,254.586,-1.42132,1.35768e-11,0.578891,2.12133,3615.58
10,0,0.001,9.57388,2000,3.05394,2.97633,2.55787,3.13772,507.191,484.809,1825.89,1745.31,3.22656,1618.88,57.7462,83.6647,765.625,765.625,0.234338,468.676,0.0146163,29.2327,13.1819,26363.9,258.016,-1.45616,-4.28127e-12,0.611014,2.18691,3983.22
11,0,0.001,9.3185,2000,3.20323,3.11551,2.64885,3.29901,507.73,485.25,1827.83,1746.9,4.04688,1678.84,57.3704,82.6633,765.625,765.625,0.232508,465.016,0.0129325,25.8651,12.8597,25719.4,258.41,-1.30555,2.72343e-11,0.552708,2.16988,4348.11
12,0,0.001,9.30117,2000,3.0832,3.00347,2.56287,3.1693,508.906,487.633,1832.06,1755.48,2.91406,1652.06,57.0604,82.7107,765.625,765.625,0.236531,473.062,0.013285,26.5699,13.0506,26101.2,259.027,-1.31719,-2.082e-11,0.5696,2.23647,4716.15
13,0,0.001,9.20173,2000,3.01901,2.93463,2.50426,3.10985,510.488,489.371,1837.76,1761.74,2.44531,1639.71,56.6189,82.3149,765.625,765.625,0.238572,477.145,0.0132072,26.4145,13.1257,26251.4,259.816,-1.3358,5.07596e-12,0.660664,2.15576,5082.15
14,0,0.001,8.96122,2000,3.17876,3.08686,2.62524,3.27802,515.934,495.133,1857.36,1782.48,3.14062,1698.06,53.948,78.967,765.625,765.625,0.239715,479.43,0.0128476,25.6951,12.7823,25564.6,262.59,-1.30122,-7.91482e-12,0.626141,2.10579,5426.77
15,0,0.001,8.77669,2000,3.42622,3.31957,2.73742,3.54263,525.062,504.184,1890.22,1815.06,3.96875,1779.04,49.7689,74.0854,765.625,765.625,0.24217,484.34,0.013024,26.048,12.4263,24852.5,267.078,-1.34282,-2.52976e-11,0.584753,2.0086,5756.09
16,0,0.001,8.84646,2000,3.40513,3.29821,2.73163,3.5222,522.438,501.398,1880.77,1805.03,4,1766.26,50.8242,75.1642,765.625,765.625,0.240699,481.398,0.0117586,23.5171,12.4353,24870.6,265.785,-1.2341,3.84307e-12,0.588541,2.03687,6091.16
17,0,0.001,9.0022,2000,3.29816,3.19671,2.65112,3.40858,522.715,502.23,1881.77,1808.03,3.1875,1724.4,51.1028,75.9327,765.625,765.625,0.243146,486.293,0.011929,23.858,12.6928,25385.6,265.961,-1.21538,1.84139e-11,0.594804,2.14641,6429.13
18,0,0.001,9.06822,2000,3.26315,3.16439,2.64271,3.37018,525.285,504.734,1891.03,1817.04,3.02344,1722.11,49.9185,74.884,765.625,765.625,0.244809,489.617,0.0118925,23.785,12.7698,25539.6,267.18,-1.22673,1.3238e-11,0.597114,2.04981,6765.93
19,0,0.001,9.14331,2000,3.19876,3.09976,2.60134,3.30592,522.66,502.438,1881.58,1808.78,2.64062,1723.01,51.0146,76.0419,765.625,765.625,0.244617,489.234,0.0112037,22.4074,12.8177,25635.4,265.848,-1.14706,-2.58567e-11,0.630071,2.11865,7104.63
20,0,0.001,9.04796,2000,3.29708,3.1886,2.64239,3.41539,525.977,506.324,1893.52,1822.77,2.48438,1762.87,49.3353,74.0561,765.625,765.625,0.246951,493.902,0.0115353,23.0706,12.6715,25343,267.586,-1.18433,4.90078e-12,0.627935,2.05625,7447.95
21,0,0.001,8.99799,2000,3.53621,3.41379,2.73864,3.67099,531.766,511.738,1914.36,1842.26,3.65625,1824.13,46.6304,70.6061,765.625,765.625,0.246729,493.457,0.0111109,22.2219,12.2863,24572.7,270.574,-1.18953,4.71182e-12,0.599345,2.66852,7789.35
