step,klcoef,lr,rollout_time,horizon,speed,speed_rl,speed_rl_std,speed_human,inflow,outflow,inflow_hourly,outflow_hourly,collisions,fuel,backlog_step,n_total_veh_step,flow_horizontal,flow_vertical,raw_reward_mean,raw_reward_sum,reward_mean,reward_sum,n_veh_step_mean,n_veh_step_sum,n_veh_unique,policy_loss,kl,entropy,gd_time,total_time
0,0,0.001,15.8645,2000,0.782658,0.767308,0.82091,0.798754,226.277,191.25,814.598,688.5,1.65625,1081.82,198.409,236.742,765.625,765.625,0.0914844,182.969,0.000208356,0.416713,19.6018,39203.5,117.559,-0.161356,-3.03751e-11,1.0986,3.08525,474.54
1,0,0.001,14.5956,2000,0.99242,0.974918,0.96684,1.01069,277.379,243.887,998.564,877.992,1.14062,1144.51,172.222,209.864,765.625,765.625,0.119092,238.184,0.00807602,16.152,19.2086,38417.2,143.102,-0.880318,3.7082e-10,1.08718,2.56728,941.65
2,0,0.001,12.468,2000,1.52748,1.50081,1.41754,1.55535,369.148,341.117,1328.93,1228.02,0.445312,1289.21,124.506,158.159,765.625,765.625,0.169445,338.891,0.0186149,37.2297,17.1349,34269.7,189.016,-1.80082,-8.6235e-10,1.0257,2.57377,1395.5
3,0,0.001,10.7509,2000,2.21558,2.17322,2.08413,2.26031,447.32,422.109,1610.35,1519.59,1.78906,1427.56,84.3471,113.957,765.625,765.625,0.206582,413.164,0.0211319,42.2638,15.0356,30071.2,228.121,-2.00263,-3.54887e-10,0.85256,2.44948,1846.5
4,0,0.001,9.91413,2000,3.03568,2.95816,2.62986,3.12095,489.57,462.754,1762.45,1665.91,6.1875,1611.51,64.0827,90.8312,765.625,765.625,0.215908,431.816,0.0175837,35.1674,13.5463,27092.6,249.297,-1.7402,-4.74797e-10,0.577113,2.34515,2282.25
5,0,0.001,10.1363,2000,3.18379,3.10388,2.76828,3.27114,495.719,468.176,1784.59,1685.43,7.51562,1614.1,61.3932,87.258,765.625,765.625,0.215299,430.598,0.0139973,27.9945,13.1022,26204.4,252.398,-1.40728,-2.94747e-10,0.544271,2.28834,2708.48
6,0,0.001,10.9684,2000,3.20662,3.12025,2.75136,3.30146,495.676,468.402,1784.43,1686.25,7.34375,1639.5,61.0889,86.8942,765.625,765.625,0.215842,431.684,0.0120764,24.1529,13.0831,26166.2,252.406,-1.2275,7.0775e-10,0.604412,2.19025,3156.65
7,0,0.001,11.243,2000,3.36577,3.27754,2.86287,3.46257,501.934,473.973,1806.96,1706.3,8.21094,1654.64,58.0062,83.2465,765.625,765.625,0.216459,432.918,0.0107743,21.5486,12.7884,25576.8,255.523,-1.11398,7.99019e-11,0.512834,2.24409,3628.13
8,0,0.001,11.4377,2000,3.35315,3.26463,2.80534,3.45009,499.707,472.574,1798.95,1701.27,7.5,1679.15,59.2926,84.847,765.625,765.625,0.217537,435.074,0.00985437,19.7087,12.9382,25876.3,254.348,-1.0166,4.45977e-10,0.530419,2.50347,4077.12
9,0,0.001,11.2072,2000,3.50153,3.40982,2.9252,3.60178,505.316,477.539,1819.14,1719.14,8.33594,1684.59,56.6535,81.5429,765.625,765.625,0.21793,435.859,0.00899697,17.9939,12.6014,25202.8,257.211,-0.937091,2.07857e-11,0.444314,2.11575,4532.38
10,0,0.001,10.5855,2000,3.3826,3.2917,2.84286,3.48237,501.844,473.84,1806.64,1705.82,8.375,1676.98,58.2731,83.5594,765.625,765.625,0.215982,431.965,0.00759529,15.1906,12.8076,25615.2,255.441,-0.802888,3.96959e-11,0.520043,2.33883,4983.49
