step,klcoef,lr,rollout_time,horizon,speed,speed_rl,speed_rl_std,speed_human,inflow,outflow,inflow_hourly,outflow_hourly,collisions,fuel,backlog_step,n_total_veh_step,flow_horizontal,flow_vertical,raw_reward_mean,raw_reward_sum,reward_mean,reward_sum,n_veh_step_mean,n_veh_step_sum,n_veh_unique,policy_loss,kl,entropy,gd_time,total_time
0,0,0.001,15.4315,2000,1.843,1.843,2.68883,,444.637,416.621,1600.69,1499.84,1.11719,1290.93,89.0308,120.895,765.625,765.625,0.205518,411.035,-8.06635e-05,-0.161327,31.851,63702,453.398,-0.0224266,2.94049e-11,0.335405,3.97963,427.72
1,0,0.001,14.3621,2000,2.0068,2.0068,3.67211,,438.41,411.754,1578.28,1482.31,3.60938,1171.37,95.6052,124.863,765.625,765.625,0.196854,393.707,-0.00214425,-4.28849,29.2466,58493.2,447.191,0.199933,-2.27991e-12,0.212695,3.22917,832.532
2,0,0.001,14.0541,2000,2.06534,2.06534,3.81221,,441.16,416.367,1588.18,1498.92,2.8125,1180.3,93.6766,121.979,765.625,765.625,0.201152,402.305,-0.00040047,-0.800941,28.2911,56582.3,449.844,0.0432218,-2.55314e-12,0.230162,3.2045,1226.11
3,0,0.001,13.2057,2000,2.1993,2.1993,4.01611,,431.516,409.617,1553.46,1474.62,2.08594,1136.99,99.2783,125.304,765.625,765.625,0.199594,399.188,-0.00108081,-2.16162,26.0154,52030.8,440.168,0.113071,1.75116e-11,0.210098,2.97213,1616.81
4,0,0.001,14.7198,2000,2.05984,2.05984,3.57174,,452.668,427.871,1629.6,1540.34,2,1264.25,88.2282,117.812,765.625,765.625,0.208936,417.871,0.00202724,4.05448,29.5721,59144.3,461.395,-0.192031,6.65861e-12,0.205572,3.29958,2048.73
5,0,0.001,15.9005,2000,1.96705,1.96705,2.29746,,445.773,419.207,1604.78,1509.15,0.335938,1313.38,84.5106,117.541,765.625,765.625,0.208764,417.527,0.0028505,5.70101,33.0168,66033.7,454.551,-0.100443,1.46059e-11,0.0696604,3.97511,2506.8
6,0,0.001,15.7109,2000,2.01659,2.01659,2.63222,,461.316,435.168,1660.74,1566.6,0.546875,1354.09,79.5304,111.876,765.625,765.625,0.216217,432.434,0.00316566,6.33131,32.3332,64666.4,470.016,-0.208309,7.70849e-12,0.139182,3.49611,2966.72
7,0,0.001,15.4296,2000,2.07529,2.07529,2.48436,,461.219,435.625,1660.39,1568.25,0.289062,1362.9,77.8278,109.662,765.625,765.625,0.21709,434.18,0.00344358,6.88715,31.821,63642.1,469.98,-0.205042,-3.24221e-12,0.162056,3.38387,3415.75
8,0,0.001,14.8161,2000,2.21934,2.21934,2.71799,,479.395,454.816,1725.82,1637.34,0.164062,1390.25,69.4815,99.8554,765.625,765.625,0.226998,453.996,0.00527161,10.5432,30.3617,60723.3,488.242,-0.407432,-1.92621e-11,0.294661,3.39037,3872.75
9,0,0.001,15.0408,2000,2.1607,2.1607,2.87762,,473.816,448.668,1705.74,1615.2,0.601562,1378.63,73.2357,103.978,765.625,765.625,0.22283,445.66,0.00335041,6.70083,30.7305,61460.9,482.539,-0.229009,4.22312e-12,0.193563,4.5766,4342.03
10,0,0.001,14.4115,2000,2.24111,2.24111,2.58397,,470.227,445.914,1692.82,1605.29,0.132812,1388.06,72.2084,102.723,765.625,765.625,0.222625,445.25,0.00394962,7.89925,30.5023,61004.7,479.047,-0.220518,5.21877e-13,0.192498,3.40675,4784.96
11,0,0.001,14.3586,2000,2.21772,2.21772,2.49182,,460.66,436.312,1658.38,1570.72,0.257812,1373.86,76.6317,107.136,765.625,765.625,0.217512,435.023,0.00258563,5.17126,30.4919,60983.8,469.336,-0.0623042,-1.08463e-11,0.109472,3.40606,5239.84
12,0,0.001,12.9007,2000,2.62583,2.62583,3.38962,,504.98,485.477,1817.93,1747.72,0.5625,1565.87,60.7503,87.0138,765.625,765.625,0.241332,482.664,0.00837849,16.757,26.254,52508,513.719,-0.787479,-2.61889e-11,0.26902,3.10517,5658.69
13,0,0.001,14.5773,2000,2.17723,2.17723,2.3957,,453.246,428.59,1631.69,1542.92,0.273438,1360.27,80.026,111.107,765.625,765.625,0.213611,427.223,0.00109489,2.18977,31.069,62138.1,461.961,0.0887739,1.51871e-11,0.078631,3.47714,6128.11
14,0,0.001,14.358,2000,2.24042,2.24042,2.39235,,454.598,430.84,1636.55,1551.02,0.0390625,1358.64,80.6866,111.203,765.625,765.625,0.215322,430.645,0.00158578,3.17156,30.5044,61008.9,463.246,0.0282644,5.34628e-12,0.0631165,3.40948,6593.85
15,0,0.001,14.1289,2000,2.29279,2.29279,2.46557,,455.637,432.531,1640.29,1557.11,0.078125,1381.7,79.9419,109.836,765.625,765.625,0.21607,432.141,0.00183532,3.67064,29.8823,59764.5,464.27,0.0132946,-5.59679e-12,0.0675263,3.39479,7056.09
16,0,0.001,14.412,2000,2.23959,2.23959,2.42107,,455.754,431.598,1640.71,1553.75,0.171875,1368.77,79.113,109.737,765.625,765.625,0.215369,430.738,0.00150369,3.00737,30.6119,61223.9,464.387,0.0422658,8.50781e-12,0.0914863,3.4598,7528.2
17,0,0.001,14.1937,2000,2.29675,2.29675,2.48842,,458.297,434.996,1649.87,1565.99,0.046875,1393.83,77.8628,107.946,765.625,765.625,0.217381,434.762,0.00207065,4.1413,30.0718,60143.6,467.102,-0.00822324,7.21008e-12,0.119238,4.43712,7996.46
18,0,0.001,13.4054,2000,2.58426,2.58426,2.99072,,495.926,474.129,1785.33,1706.86,0.195312,1500.5,61.4254,89.2282,765.625,765.625,0.236576,473.152,0.00723591,14.4718,27.792,55583.9,504.703,-0.557169,-7.42677e-12,0.243141,4.92763,8448.77
19,0,0.001,13.4355,2000,2.57925,2.57925,2.84765,,477.867,455.984,1720.32,1641.54,0.1875,1492.1,69.9924,98.0337,765.625,765.625,0.227523,455.047,0.00478932,9.57864,28.0304,56060.8,486.441,-0.280692,3.33607e-11,0.266056,3.31244,8910.93
20,0,0.001,13.0908,2000,2.7076,2.7076,3.0625,,498.211,476.996,1793.56,1717.19,0.453125,1530.73,60.6252,87.7074,765.625,765.625,0.237365,474.73,0.00710414,14.2083,27.0718,54143.7,506.922,-0.54412,6.61092e-12,0.255236,3.19468,9351.14
21,0,0.001,12.04,2000,3.0467,3.0467,3.5801,,510.945,494.516,1839.4,1780.26,0.304688,1716.26,57.1368,81.2189,765.625,765.625,0.246496,492.992,0.00934186,18.6837,24.0741,48148.1,519.668,-0.832602,-8.48768e-12,0.279716,3.09176,9783.25
22,0,0.001,13.4944,2000,2.5222,2.5222,3.03331,,490.141,467.625,1764.51,1683.45,0.5,1454.89,64.6087,92.9065,765.625,765.625,0.232563,465.125,0.00367549,7.35099,28.2867,56573.5,498.797,-0.202832,-9.12928e-12,0.127184,3.33828,10247
23,0,0.001,13.3267,2000,2.58519,2.58519,3.13713,,492.566,470.375,1773.24,1693.35,0.671875,1480.14,64.0014,91.8859,765.625,765.625,0.233508,467.016,0.00384999,7.69998,27.8737,55747.3,501.215,-0.218155,-6.38483e-12,0.144356,3.23867,10707.3
24,0,0.001,13.3348,2000,2.67011,2.67011,3.08096,,497.387,474.91,1790.59,1709.68,0.6875,1488.56,61.0473,88.8811,765.625,765.625,0.235736,471.473,0.0044859,8.97179,27.8229,55645.9,506.086,-0.241808,-1.39842e-12,0.158341,3.31435,11162.8
